Tornado ID,Date/Time,Latitude,Longitude,Nearest town,State,Fujita scale,
1,1795-12-04 14:00:00,-33.8834,151.2167,METROPOLITAN AREA,NSW,0,
2,1802-10-07 06:00:00,-33.7500,150.6833,EMU PLAINS,NSW,0,
3,1802-11-05 03:00:00,-33.8167,150.0167,PARRAMATTA,NSW,0,
4,1826-10-20 05:30:00,-33.6167,150.8167,WINDSOR,NSW,0,
5,1839-11-14 04:30:00,-33.8167,151.0167,PARRAMATTA,NSW,0,
6,1840-02-01 07:00:00,-33.8167,151.0167,PARRAMATTA,NSW,0,
7,1840-12-26 14:00:00,-33.5333,150.9667,MAROOTA/CATTAI CREEK,NSW,0,
8,1841-11-26 06:15:00,-32.7667,151.7500,RAYMOND TERRACE 5 MILES EAST,NSW,0,
9,1841-12-20 08:00:00,-33.8167,151.0167,PARRAMATTA,NSW,0,
10,1841-12-29 14:00:00,-34.1667,150.0000,WOLLONDILLY (HIGH CNTRY NEAR),NSW,0,
11,1842-02-17 14:00:00,-33.8834,151.2167,PARRAMATTA/SYDNEY,NSW,0,
12,1845-11-20 07:00:00,-33.8167,151.0167,SEVEN HILLS/B H/PARRAMATTA,NSW,0,
13,1861-06-30 14:00:00,-30.2333,150.6167,PIEDMONT,NSW,0,
14,1881-01-23 14:00:00,-34.2833,148.2667,BURRANGONG,NSW,0,
15,1888-09-20 14:00:00,-31.0500,142.3333,GNALTA (100 MILES NW WCA),NSW,0,
16,1888-09-21 06:30:00,-33.8834,151.2167,SYDNEY,NSW,0,
17,1888-09-29 14:00:00,-33.6000,150.7500,RICHMOND,NSW,0,
18,1888-12-10 14:00:00,-32.4500,151.7167,DUNGOG  (6 MILES FROM),NSW,0,
19,1889-01-02 14:00:00,-30.0833,146.5000,CARRINGTON PARK,NSW,0,
20,1889-01-06 14:00:00,-31.2500,147.2500,COLANE,NSW,0,
21,1889-01-27 05:50:00,-33.8834,151.2167,SYDNEY,NSW,0,
22,1889-03-07 14:00:00,-29.7333,149.8000,GURLEY,NSW,0,
23,1889-03-13 01:00:00,-33.8667,151.0000,HERCYNIA,NSW,0,
24,1889-11-23 09:15:00,-31.3000,146.8333,GIRILAMBONE/SUSSEX,NSW,0,
25,1889-12-06 14:00:00,-31.1667,145.9834,CORONGA DOWNS,NSW,0,
26,1890-12-28 06:00:00,-35.5333,144.9500,DENILIQUIN,NSW,0,
27,1891-02-23 06:00:00,-28.9000,150.7667,YETMAN/COOLATAI/COBBADAH,NSW,0,
28,1891-03-19 14:00:00,-33.8834,151.2167,COOGEE,NSW,0,
29,1892-01-10 14:00:00,-30.7333,152.2667,LOWER CREEK,NSW,0,
30,1892-10-13 08:15:00,-30.3333,149.7833,NARRABRI,NSW,0,
31,1892-11-13 08:00:00,-30.3333,149.7833,NARRABRI,NSW,0,
32,1892-12-26 14:00:00,-29.7667,151.1167,INVERELL,NSW,0,
33,1893-03-08 04:00:00,-29.4667,153.2000,MACLEAN,NSW,0,
34,1893-05-28 14:00:00,-33.9334,147.2500,WYALONG,NSW,0,
35,1893-12-12 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,
36,1894-09-08 14:00:00,-33.8834,151.2167,CENTENNIAL PARK,NSW,0,
37,1894-11-28 12:00:00,-33.3500,144.9500,MOOLBONG,NSW,0,
38,1894-12-30 14:00:00,-31.3500,152.6167,BELLANGRY,NSW,0,
39,1894-12-30 12:00:00,-29.0667,153.3167,SWAN BAY,NSW,0,
40,1895-12-02 14:00:00,-29.6000,145.3833,PIRRILLIE,NSW,0,
41,1896-01-12 14:00:00,-31.5000,145.5000,COBAR,NSW,0,
42,1896-01-12 14:00:00,-28.6333,152.3000,RIVERTREE,NSW,0,
43,1896-09-13 14:00:00,-30.3500,146.9000,GONGOLGON,NSW,0,
44,1896-12-14 14:00:00,-30.3500,146.9000,GONGOLGON,NSW,0,
45,1896-12-14 14:00:00,-32.6000,149.5833,MUDGEE,NSW,0,
46,1896-12-28 06:30:00,-32.1333,148.1167,MUNGERIBAR/NEVERTIRE,NSW,0,
47,1897-01-04 06:00:00,-33.1500,148.0000,NELUNGALOO,NSW,0,
48,1897-06-01 00:00:00,-33.8834,151.2167,CHATSWOOD,NSW,0,
49,1897-12-31 08:00:00,-31.3333,148.7833,PINE GROVE,NSW,0,
50,1898-10-26 14:00:00,-33.8334,148.6833,COWRA,NSW,0,
51,1899-01-10 04:30:00,-33.8500,150.6500,MULGOA,NSW,0,
52,1899-01-14 01:00:00,-33.8500,150.6500,MULGOA,NSW,0,
53,1899-01-17 14:00:00,-29.9334,146.2333,WARRAWEENA,NSW,0,
54,1899-11-06 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
55,1900-02-22 14:00:00,-30.8167,152.5167,BELLBROOK,NSW,0,
56,1900-12-03 08:30:00,-29.8000,149.7833,KILGOWLA AND NARRABRI,NSW,0,
57,1900-12-04 04:10:00,-35.0000,148.1167,WOODBURN(3)/COOTAMUNDRA,NSW,0,
58,1901-01-01 07:00:00,-29.8667,150.5667,BINGARA,NSW,0,
59,1901-11-20 07:00:00,-33.8667,144.8834,THE CUBAS (W OF BOOLIGAL),NSW,0,
60,1901-12-31 14:00:00,-30.4000,145.5000,GUNDABOOKA,NSW,0,
61,1902-01-14 14:00:00,-30.3333,149.7833,NARRABRI,NSW,0,
62,1902-09-14 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,
63,1902-09-26 14:00:00,-35.0000,146.1000,BROWLEY/WOODLAND PARK,NSW,0,
64,1902-10-14 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,
65,1902-11-08 04:00:00,-33.5000,148.5000,GOOLAGONG/CANOWINDRA,NSW,0,
66,1902-11-22 14:00:00,-32.8500,145.8834,MOUNT HOPE,NSW,0,
67,1902-12-14 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,
68,1903-01-14 05:00:00,-34.0167,150.6833,COBBITTY,NSW,0,
69,1903-01-22 09:00:00,-29.5833,152.7333,RAMORNIE,NSW,0,
70,1903-04-14 14:00:00,-34.6333,148.0333,COOTAMUNDRA,NSW,0,
71,1903-10-11 06:00:00,-33.1333,148.1833,PARKES,NSW,0,
72,1903-12-20 14:00:00,-31.3667,150.1500,COOLANBILLA (COOLUMBILLA ?),NSW,0,
73,1904-10-19 05:00:00,-30.3167,145.5000,CLOVER CREEK,NSW,0,
74,1904-12-18 14:00:00,-28.3167,153.4333,CONDONG,NSW,0,
75,1904-12-23 14:00:00,-29.8667,152.4500,DALMORTON,NSW,0,
76,1905-01-20 14:00:00,-29.8667,150.5667,BINGARA,NSW,0,
77,1906-01-05 14:00:00,-30.3167,151.5333,BOOROLONG,NSW,0,
78,1906-01-24 14:00:00,-29.2333,146.9167,WEILMORINGLE,NSW,0,
79,1906-03-27 01:50:00,-33.8834,151.2167,NORTH SYDNEY,NSW,0,
80,1906-09-10 14:00:00,-30.0833,145.9334,BOURKE,NSW,0,
81,1906-11-27 14:00:00,-31.1667,146.1333,KERGUNYAH,NSW,0,
82,1907-12-15 03:45:00,-32.9334,151.7667,MAYFIELD,NSW,0,
83,1908-01-15 14:00:00,-33.8167,149.6000,MOUNT DAVID,NSW,0,
84,1908-02-29 14:00:00,-33.6000,150.7500,RICHMOND,NSW,0,
85,1908-09-19 09:15:00,-36.0833,146.9334,ALBURY,NSW,0,
86,1909-01-02 14:00:00,-33.1000,146.6500,BROTHERONY STN (CONDOBOLIN),NSW,0,
87,1910-01-19 14:00:00,-29.5500,148.5833,COLLARENEBRI,NSW,0,
88,1910-01-21 00:00:00,-29.8167,149.5667,MILLIE/GORAH/GLENROY,NSW,0,
89,1910-01-27 14:00:00,-29.9667,146.8667,BREWARRINA,NSW,0,
90,1910-11-04 14:00:00,-30.9167,142.9334,GEMVILLE (WHITE CLIFFS),NSW,0,
91,1910-12-14 14:00:00,-34.4667,149.4833,KIALLA (CROOKWELL),NSW,0,
92,1911-09-29 00:20:00,-33.2833,148.7333,CUDAL,NSW,0,
93,1911-12-29 14:00:00,-32.9167,147.7000,TRUNDLE,NSW,0,
94,1912-08-26 07:45:00,-33.9000,148.1667,GRENFELL,NSW,0,
95,1912-11-21 01:00:00,-28.9167,153.5000,PIMLICO,NSW,0,
96,1913-01-11 14:00:00,-31.5667,143.3667,WILCANNIA,NSW,0,
97,1913-01-27 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,
98,1913-01-28 14:00:00,-33.0833,147.1500,CONDOBOLIN,NSW,0,
99,1913-11-11 14:00:00,-33.7167,149.2167,BLAYNEY (OCCURRED AT NEVILLE),NSW,0,
100,1913-11-11 14:00:00,-33.8167,151.0167,PARRAMATTA,NSW,0,
101,1913-11-11 14:00:00,-31.5000,150.6833,QUIRINDI,NSW,0,
102,1913-11-12 08:00:00,-31.5667,143.3667,MURPA (WILCANNIA),NSW,0,
103,1913-11-14 14:00:00,-33.6000,148.4000,GOOLAGONG,NSW,0,
104,1913-12-24 14:00:00,-29.5500,148.5833,COLLARENEBRI,NSW,0,
105,1914-03-27 14:00:00,-33.8167,151.0167,PARRAMATTA,NSW,0,
106,1914-04-02 14:00:00,-33.7667,150.9167,WENTWORTHVILLE,NSW,0,
107,1914-06-17 14:00:00,-29.4667,153.2000,MACLEAN,NSW,0,
108,1914-12-31 00:30:00,-30.1000,148.9667,BURREN JUNCTION,NSW,0,
109,1916-01-08 14:00:00,-32.5667,151.1667,SINGLETON,NSW,0,
110,1916-03-06 05:00:00,-28.9000,150.7667,YETMAN,NSW,0,
111,1918-02-20 03:45:00,-31.9000,152.4833,TAREE,NSW,0,
112,1918-10-29 14:00:00,-33.1000,148.8667,MOLONG,NSW,0,
113,1919-11-30 14:00:00,-35.6500,146.3000,DAYSDALE,NSW,0,
114,1921-12-02 09:30:00,-30.7000,150.0500,BOGGABRI,NSW,0,
115,1923-08-30 08:00:00,-33.8834,151.2167,CONCORD,NSW,0,
116,1923-12-21 14:00:00,-32.5667,151.1667,SINGLETON,NSW,0,
117,1924-02-05 14:00:00,-31.8667,152.3667,WINGHAM,NSW,0,
118,1925-01-11 14:00:00,-34.6333,143.5667,BALRANALD,NSW,0,
119,1926-05-24 14:00:00,-34.4667,148.2833,REDBRIDGE,NSW,0,
120,1928-01-23 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
121,1929-03-17 14:00:00,-28.8333,153.4333,ALSTONVILLE,NSW,0,
122,1929-12-09 14:00:00,-30.1000,148.9667,BURREN JUNCTION,NSW,0,
123,1930-03-17 14:00:00,-30.5167,141.8000,WYNDONGA,NSW,0,
124,1930-07-10 14:00:00,-33.8834,151.2167,BANKSTOWN,NSW,0,
125,1930-12-16 14:00:00,-31.0833,150.9334,TAMWORTH,NSW,0,
126,1931-01-20 14:00:00,-30.5167,151.6667,ARMIDALE SOUTH,NSW,0,
127,1931-10-06 14:00:00,-33.0000,149.5667,SALLY'S FLAT,NSW,0,
128,1931-11-07 14:00:00,-34.5333,149.4000,GRABBEN GULLEN,NSW,0,
129,1932-01-31 14:00:00,-32.2333,148.2500,NARROMINE,NSW,0,
130,1932-02-10 14:00:00,-31.7667,150.8167,MURRURUNDI,NSW,0,
131,1932-02-15 14:00:00,-34.0500,151.1500,CRONULLA,NSW,0,
132,1932-10-07 14:00:00,-30.7500,150.7167,MANILLA,NSW,0,
133,1933-01-09 14:00:00,-34.3167,148.3000,YOUNG,NSW,0,
134,1933-03-12 14:00:00,-29.1500,145.8000,BELALIE,NSW,0,
135,1934-11-13 14:00:00,-33.6667,147.8167,WIRRINYA,NSW,0,
136,1934-12-26 20:00:00,-28.9834,149.0000,MUNGINDI,NSW,0,
137,1934-12-29 14:00:00,-29.7667,151.1167,INVERELL,NSW,0,
138,1935-02-04 14:00:00,-32.8334,151.3500,CESSNOCK,NSW,0,
139,1937-01-25 06:00:00,-33.8834,151.2167,CASTLE HILL,NSW,0,
140,1937-12-07 14:00:00,-33.8834,151.2167,MANLY,NSW,0,
141,1938-04-16 14:00:00,-34.8667,147.5833,JUNEE,NSW,0,
142,1938-10-25 14:00:00,-30.3000,153.1333,COFFS HARBOUR,NSW,0,
143,1938-11-22 14:00:00,-35.1167,147.3667,WAGGA WAGGA,NSW,0,
144,1939-01-26 14:00:00,-34.8667,147.5833,JUNEE,NSW,0,
145,1939-03-19 14:00:00,-30.6667,146.4000,BYROCK,NSW,0,
146,1940-01-18 14:00:00,-28.6833,153.5167,BANGALOW/NEWRYBAR,NSW,0,
147,1940-10-31 05:00:00,-33.8834,151.2167,SYDNEY METRO,NSW,0,
148,1940-11-13 14:00:00,-28.8667,153.5667,BALLINA,NSW,0,
149,1940-12-06 14:00:00,-34.7500,146.5500,NARRANDERA,NSW,0,
150,1941-05-23 14:00:00,-33.8834,151.2167,ARNCLIFFE,NSW,0,
151,1941-06-07 14:00:00,-33.2500,148.9834,BORENORE (NEAR ORANGE),NSW,0,
152,1941-08-18 09:00:00,-33.8834,151.2167,FIVE DOCK,NSW,0,
153,1942-10-05 14:00:00,-33.0833,151.5000,DORA CREEK,NSW,0,
154,1942-11-26 00:30:00,-36.9167,149.2500,BOMBALA,NSW,0,
155,1943-12-25 14:00:00,-32.8500,151.2833,MT VIEW,NSW,0,
156,1943-12-27 14:00:00,-32.8834,151.2500,MILLFIELD,NSW,0,
157,1944-01-15 14:00:00,-34.0667,150.8167,CAMPBELLTOWN,NSW,0,
158,1944-07-03 14:00:00,-33.2833,149.1000,ORANGE,NSW,0,
159,1944-10-14 14:00:00,-31.5000,145.5000,COBAR,NSW,0,
160,1944-11-12 14:00:00,-32.8334,151.3500,CESSNOCK,NSW,0,
161,1944-11-29 07:00:00,-33.8834,151.2167,NAREMBURN,NSW,0,
162,1944-12-05 14:00:00,-33.8834,151.2167,ASHFIELD,NSW,0,
163,1944-12-20 14:00:00,-33.8834,151.2167,WAVERLY,NSW,0,
164,1945-02-20 14:00:00,-33.2833,151.4333,WYONG,NSW,0,
165,1945-02-26 14:00:00,-31.5000,145.5000,COBAR,NSW,0,
166,1945-03-06 14:00:00,-29.6833,152.9334,GRAFTON,NSW,0,
167,1945-04-07 14:00:00,-29.0667,153.3500,WOODBURN,NSW,0,
168,1945-11-17 14:00:00,-33.9334,150.9334,LIVERPOOL,NSW,0,
169,1946-12-06 04:40:00,-33.8834,151.2167,DEE WHY,NSW,0,
170,1947-01-13 14:00:00,-29.7667,151.1167,INVERELL,NSW,0,
171,1948-08-19 14:00:00,-30.4500,152.9000,BELLIGEN,NSW,0,
172,1948-08-25 14:00:00,-33.8834,151.2167,CROYDON,NSW,0,
173,1949-01-10 06:00:00,-31.0833,150.9334,TAMWORTH,NSW,0,
174,1949-09-29 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
175,1949-11-26 14:00:00,-33.8834,151.2167,ABBOTSFORD,NSW,0,
176,1950-01-08 05:40:00,-31.0833,150.9334,TAMWORTH,NSW,0,
177,1950-05-26 10:00:00,-34.1333,148.0833,THUDDUNGRA,NSW,0,
178,1950-06-14 14:00:00,-33.8834,151.2167,SANS SOUCI,NSW,0,
179,1951-07-18 14:00:00,-33.6000,150.7500,LA PEROUSE,NSW,0,
180,1951-11-13 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
181,1951-12-06 14:00:00,-33.6167,150.7833,HAWKESBURY  (CLARENDON),NSW,0,
182,1951-12-09 14:00:00,-33.8834,151.2167,WAVERLY,NSW,0,
183,1951-12-16 01:30:00,-33.8834,151.2167,ASHBURY/LILYFIELD,NSW,0,
184,1952-01-23 03:30:00,-34.3167,145.4333,CARRATHOOL,NSW,0,
185,1952-01-30 14:00:00,-28.8667,153.0500,CASINO,NSW,0,
186,1952-02-09 14:00:00,-33.8834,151.2167,HURSTVILLE,NSW,0,
187,1952-08-14 11:15:00,-33.8834,151.2167,BONDI JUNCTION,NSW,0,
188,1953-01-10 14:00:00,-33.3000,151.2000,MANGROVE MOUNTAIN,NSW,0,
189,1953-11-04 14:00:00,-34.5333,150.3833,MOSS VALE,NSW,0,
190,1953-11-05 05:00:00,-33.8334,148.6833,COWRA,NSW,0,
191,1953-11-09 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
192,1954-02-27 14:00:00,-30.5167,151.6667,ARMIDALE,NSW,0,
193,1954-10-18 04:30:00,-33.8834,151.2167,ROSE BAY/BELMORE (1415),NSW,0,
194,1954-11-13 14:00:00,-32.2500,148.6167,DUBBO,NSW,0,
195,1954-11-19 14:00:00,-34.0333,151.1000,MIRANDA,NSW,0,
196,1955-02-01 03:30:00,-30.9834,151.5833,WALCHA AREA,NSW,0,
197,1955-11-22 14:00:00,-33.8167,151.0167,PARRAMATTA,NSW,0,
198,1955-12-06 08:50:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
199,1956-02-20 00:30:00,-33.6000,150.7500,RICHMOND,NSW,0,
200,1956-10-30 14:00:00,-33.8834,151.2167,LEICHARDT,NSW,0,
201,1956-12-12 14:00:00,-35.6000,146.2000,OAKLANDS,NSW,0,
202,1956-12-25 14:00:00,-33.8834,151.2167,PADSTOW,NSW,0,
203,1957-01-08 14:00:00,-30.4000,152.9500,VALERY,NSW,0,
204,1957-01-09 14:00:00,-33.6000,150.7500,GUILDFORD,NSW,0,
205,1957-01-10 03:30:00,-33.7500,150.7000,PENRITH,NSW,0,
206,1957-02-08 08:00:00,-33.8834,151.2167,EASTWOOD,NSW,0,
207,1957-03-13 07:00:00,-35.0500,144.1333,MOULAMEIN,NSW,0,
208,1957-07-08 23:30:00,-33.8834,151.2167,WARRIEWOOD,NSW,0,
209,1957-10-06 14:00:00,-33.8834,151.2167,SYDNEY,NSW,0,
210,1957-10-27 14:00:00,-28.1667,153.5500,TWEED RIVER,NSW,0,
211,1957-11-08 03:00:00,-34.0500,151.1500,CRONULLA,NSW,0,
212,1957-11-19 14:00:00,-34.0500,150.7000,CAMDEN,NSW,0,
213,1957-12-01 14:00:00,-33.4833,151.3333,WOY WOY,NSW,0,
214,1957-12-26 14:00:00,-33.8834,151.2167,CAMPSIE,NSW,0,
215,1958-01-12 14:00:00,-28.8667,153.0500,CASINO,NSW,0,
216,1958-01-19 06:20:00,-33.8834,151.2167,SYDNEY,NSW,0,
217,1958-03-04 14:00:00,-33.8834,151.2167,SYDNEY,NSW,0,
218,1959-03-17 04:30:00,-31.9000,152.4167,KOLODONG (TAREE),NSW,0,
219,1959-06-03 14:00:00,-34.3500,150.9000,BELLAMBI,NSW,0,
220,1959-07-20 14:00:00,-34.9000,150.7667,CROOKHAVEN,NSW,0,
221,1959-09-19 05:30:00,-33.3167,151.4167,TUGGERAH LAKES,NSW,3,
222,1959-10-24 02:30:00,-33.8834,151.2167,BONDI BEACH,NSW,0,
223,1959-10-30 02:50:00,-33.8500,150.9334,SMITHFIELD,NSW,0,
224,1959-11-04 03:30:00,-33.8834,151.2167,EASTWOOD/DURAL,NSW,0,
225,1959-11-29 14:00:00,-33.6833,151.0500,DURAL,NSW,0,
226,1959-12-18 05:30:00,-33.8834,151.2167,SYDNEY,NSW,0,
227,1959-12-25 14:00:00,-34.2667,150.6833,MT KEMBLA/CORDEAUX RIVER,NSW,0,
228,1960-09-23 14:00:00,-34.3167,148.3000,YOUNG,NSW,0,
229,1960-12-02 14:00:00,-33.4000,151.7500,DUNGOG,NSW,0,
230,1961-02-19 02:00:00,-33.8834,151.2167,AUBURN,NSW,0,
231,1961-06-11 14:00:00,-33.8834,151.2167,BALGOWLAH,NSW,0,
232,1961-11-30 08:30:00,-33.8834,151.2167,MASCOT,NSW,0,
233,1962-02-04 14:00:00,-33.6000,150.7500,RICHMOND,NSW,0,
234,1962-05-11 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
235,1962-07-09 02:55:00,-31.4500,152.9167,PORT MACQUARIE,NSW,0,
236,1962-11-07 14:00:00,-28.8167,153.1667,LISMORE,NSW,0,
237,1962-11-11 14:00:00,-28.8667,153.0500,WOODVIEW/CASINO,NSW,0,
238,1963-01-03 14:00:00,-28.8167,153.1667,NEWINGBAR (NEAR LISMORE),NSW,0,
239,1963-01-04 02:00:00,-30.6667,151.0000,BRACKEN HILLS,NSW,0,
240,1963-08-22 07:30:00,-35.3333,148.1833,GILMORE,NSW,0,
241,1963-08-28 14:00:00,-33.8334,150.9834,MERRYLANDS,NSW,0,
242,1963-11-16 05:00:00,-33.8834,151.2167,NARRABEEN,NSW,0,
243,1964-01-25 14:00:00,-31.0333,152.8667,FREDERICKTON,NSW,0,
244,1964-04-22 07:00:00,-33.6000,150.7500,RICHMOND,NSW,0,
245,1964-06-09 08:35:00,-33.8834,151.2167,CARLINGFORD,NSW,0,
246,1964-06-21 08:00:00,-34.8167,147.2000,COOLAMON,NSW,0,
247,1964-06-30 14:00:00,-34.6333,148.0333,COOTAMUNDRA,NSW,0,
248,1964-07-15 14:00:00,-33.8834,151.2167,BEVERLY HILLS,NSW,0,
249,1964-08-23 14:00:00,-33.8834,151.2167,HOMEBUSH,NSW,0,
250,1964-08-23 15:30:00,-31.0167,152.9500,SMITHTOWN,NSW,0,
251,1965-01-01 14:00:00,-33.7000,150.8667,SCHOFIELDS,NSW,0,
252,1965-05-13 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
253,1965-11-02 14:00:00,-33.3500,151.5000,THE ENTRANCE,NSW,0,
254,1966-04-27 05:00:00,-33.8834,151.2167,TAMARAMA/BRONTE,NSW,0,
255,1966-09-20 14:00:00,-35.5167,149.0667,THARWA/WILLIAMSDALE,NSW,0,
256,1966-09-23 03:30:00,-33.8834,151.2167,CANLEY VALE,NSW,0,
257,1966-11-26 14:00:00,-32.9334,151.7667,NEWCASTLE,NSW,0,
258,1966-11-27 06:00:00,-33.8834,151.2167,SYDNEY,NSW,0,
259,1966-12-05 05:00:00,-33.4333,151.4000,ERINA/TERRIGAL,NSW,0,
260,1966-12-31 02:00:00,-31.4500,152.9167,PORT MACQUARIE,NSW,0,
261,1967-01-28 08:00:00,-35.8167,145.5667,TOCUMWAL/FINLEY/COBRAM,NSW,0,
